datetime,code,open,close,high,low,vol,amount,tor,vr,ma5,ma10,ma20
2017-12-27,603358,35.79,36.12,36.6,35.52,10019.0,36149812.0,2.5,1.57,35.86,36.38,37.01
2017-12-26,603358,34.93,35.68,35.79,34.93,9339.0,33095712.0,2.33,1.73,35.96,36.43,37.23
2017-12-25,603358,36.07,34.94,36.28,34.7,9241.0,32490260.0,2.31,2.03,36.25,36.47,37.47
2017-12-22,603358,36.42,36.08,36.69,36.05,4947.0,17950472.0,1.24,0.98,36.63,36.7,37.72
2017-12-21,603358,36.6,36.48,36.9,36.0,3979.0,14499962.0,0.99,0.73,36.84,36.82,37.92
2017-12-20,603358,37.11,36.6,37.16,36.5,4391.0,16109846.0,1.1,0.77,36.9,36.84,38.1
2017-12-19,603358,36.88,37.15,37.4,36.74,4456.0,16530477.0,1.11,0.71,36.9,36.9,38.34
2017-12-18,603358,37.01,36.85,37.27,36.45,5026.0,18486256.0,1.26,0.79,36.68,36.83,38.57
2017-12-15,603358,36.66,37.11,37.18,36.38,7461.0,27515184.0,1.87,1.22,36.77,36.94,38.87
2017-12-14,603358,36.54,36.77,36.86,36.07,6015.0,21922016.0,1.5,1.01,36.8,37.27,39.14
2017-12-13,603358,36.02,36.64,36.74,36.0,5454.0,19848736.0,1.36,0.79,36.79,37.64,39.59
2017-12-12,603358,37.38,36.05,37.38,36.01,7435.0,27164136.0,1.86,0.87,36.89,38.03,40.09
2017-12-11,603358,37.59,37.3,37.59,37.1,5541.0,20665594.0,1.39,0.53,36.98,38.47,40.69
2017-12-08,603358,36.85,37.26,37.4,36.81,6135.0,22829080.0,1.53,0.6,37.1,38.74,41.27
2017-12-07,603358,37.0,36.71,37.18,36.7,5123.0,18891672.0,1.28,0.49,37.74,39.02,41.83
2017-12-06,603358,36.55,37.12,37.18,36.2,10220.0,37526080.0,2.56,1.05,38.49,39.35,42.43
2017-12-05,603358,37.98,36.52,38.0,36.02,15471.0,57130012.0,3.87,1.88,39.17,39.78,42.98
2017-12-04,603358,39.96,37.9,40.34,37.78,15304.0,59497320.0,3.83,2.15,39.97,40.31,43.57
2017-12-01,603358,40.8,40.46,40.8,40.3,5022.0,20347808.0,1.26,0.63,40.38,40.79,44.11
2017-11-30,603358,40.45,40.46,40.9,40.1,6122.0,24856212.0,1.53,0.65,40.31,41.0,44.53
2017-11-29,603358,40.69,40.49,40.69,39.71,6942.0,27860010.0,1.74,0.69,40.21,41.53,44.9
2017-11-28,603358,40.0,40.53,40.88,39.98,7846.0,31751174.0,1.96,0.65,40.39,42.15,45.3
2017-11-27,603358,40.05,39.96,40.33,39.51,9645.0,38476240.0,2.41,0.77,40.65,42.91,45.65
2017-11-24,603358,39.82,40.1,40.2,39.55,9046.0,36087948.0,2.26,0.56,41.21,43.79,45.99
2017-11-23,603358,41.35,39.99,41.5,39.82,13363.0,54426672.0,3.34,0.82,41.69,44.63,46.38
2017-11-22,603358,41.82,41.39,42.37,41.01,10739.0,44805736.0,2.68,0.56,42.86,45.52,46.83
2017-11-21,603358,42.79,41.83,42.98,41.43,17726.0,74540384.0,4.43,0.82,43.91,46.18,47.11
2017-11-20,603358,42.4,42.74,42.78,41.51,11608.0,49101704.0,2.9,0.5,45.17,46.84,47.39
2017-11-17,603358,45.83,42.48,46.08,42.21,27361.0,120656832.0,6.84,1.3,46.37,47.43,47.66
2017-11-16,603358,46.4,45.84,47.05,45.81,14052.0,65233812.0,3.51,0.63,47.58,48.06,47.94
2017-11-15,603358,48.0,46.67,48.07,46.53,24940.0,117315816.0,6.24,1.19,48.17,48.27,47.99
2017-11-14,603358,48.75,48.1,49.64,47.98,30734.0,150219024.0,7.68,1.66,48.45,48.45,47.97
2017-11-13,603358,48.58,48.77,48.84,48.04,19062.0,92341088.0,4.77,0.93,48.51,48.38,47.92
2017-11-10,603358,48.6,48.5,48.8,48.22,16382.0,79407000.0,4.1,0.71,48.49,48.19,47.78
2017-11-09,603358,47.93,48.83,48.87,47.7,19713.0,95087072.0,4.93,0.85,48.54,48.13,47.74
2017-11-08,603358,48.45,48.03,48.69,47.8,18945.0,91314880.0,4.74,0.71,48.37,48.14,47.64
2017-11-07,603358,48.4,48.42,48.46,47.65,18403.0,88446360.0,4.6,0.71,48.45,48.03,47.6
2017-11-06,603358,48.7,48.69,49.67,48.35,28661.0,139938800.0,7.17,1.17,48.26,47.94,47.55
2017-11-03,603358,48.01,48.74,48.79,47.56,29707.0,143575136.0,7.43,1.25,47.88,47.88,47.47
2017-11-02,603358,48.33,47.99,48.33,47.51,20579.0,98466016.0,5.14,0.76,47.73,47.81,47.31
2017-11-01,603358,47.45,48.43,48.8,47.16,35170.0,169796608.0,8.79,1.39,47.91,47.71,47.17
2017-10-31,603358,46.86,47.43,47.68,46.61,15354.0,72495696.0,3.84,0.59,47.62,47.49,47.02
2017-10-30,603358,48.39,46.82,48.65,46.29,22022.0,104115576.0,5.51,0.89,47.62,47.46,46.91
2017-10-27,603358,48.88,47.96,48.88,47.9,25417.0,122883888.0,6.35,0.95,47.87,47.38,46.85
2017-10-26,603358,46.68,48.92,49.0,46.44,37248.0,177630288.0,9.31,1.67,47.9,47.35,46.79
2017-10-25,603358,46.5,46.95,46.98,45.88,26585.0,123584576.0,6.65,1.34,47.52,47.14,46.7
2017-10-24,603358,48.01,47.46,48.01,46.61,18233.0,86149944.0,4.56,0.9,47.36,47.17,46.74
2017-10-23,603358,48.19,48.07,48.21,47.65,16868.0,80734248.0,4.22,0.81,47.31,47.17,46.73
2017-10-20,603358,46.96,48.09,48.25,46.53,34259.0,163774848.0,8.56,1.98,46.88,47.06,46.69
2017-10-19,603358,46.0,47.02,47.1,45.58,15496.0,72069968.0,3.87,0.91,46.8,46.81,46.65
2017-10-18,603358,47.07,46.17,47.48,45.97,14195.0,66323000.0,3.55,0.77,46.76,46.62,46.65
2017-10-17,603358,45.93,47.18,47.66,45.75,20909.0,98356888.0,5.23,1.1,46.97,46.55,46.72
2017-10-16,603358,47.66,45.94,47.7,45.8,19392.0,90293504.0,4.85,1.05,47.03,46.35,46.75
