datetime,code,open,close,high,low,vol,amount,tor,vr,ma5,ma10,ma20
2017-12-27,603879,17.63,17.41,18.07,17.38,16188.0,28768322.0,4.5,0.77,17.58,17.87,17.18
2017-12-26,603879,17.26,17.73,17.77,17.21,18669.0,32834424.0,5.19,0.77,17.8,17.79,17.17
2017-12-25,603879,17.58,17.23,17.79,17.09,20013.0,34592020.0,5.56,0.8,17.99,17.64,17.17
2017-12-22,603879,18.0,17.56,18.07,17.42,16063.0,28433496.0,4.46,0.53,18.12,17.58,17.18
2017-12-21,603879,18.6,17.95,18.6,17.77,23874.0,43044160.0,6.63,0.68,18.22,17.49,17.22
2017-12-20,603879,18.6,18.52,18.97,18.31,26819.0,49915952.0,7.45,0.82,18.17,17.32,17.24
2017-12-19,603879,17.76,18.69,18.88,17.57,35027.0,64724804.0,9.73,1.23,17.79,17.07,17.29
2017-12-18,603879,18.2,17.88,18.21,17.36,23256.0,41257136.0,6.46,0.86,17.28,16.74,17.44
2017-12-15,603879,17.53,18.08,18.51,17.53,43828.0,79573360.0,12.17,1.82,17.04,16.59,17.75
2017-12-14,603879,16.62,17.67,17.76,16.62,46633.0,80748544.0,12.95,2.48,16.76,16.53,18.11
2017-12-13,603879,16.03,16.62,16.65,16.03,14601.0,23972236.0,4.06,0.67,16.46,16.48,18.48
2017-12-12,603879,16.6,16.15,16.86,16.11,14492.0,23794644.0,4.03,0.55,16.35,16.55,18.94
2017-12-11,603879,16.64,16.69,16.85,16.51,16405.0,27408264.0,4.56,0.57,16.21,16.7,19.46
2017-12-08,603879,16.19,16.65,17.23,16.05,28077.0,47120912.0,7.8,1.02,16.14,16.78,19.96
2017-12-07,603879,16.03,16.2,16.25,15.8,20577.0,33001988.0,5.72,0.75,16.31,16.94,20.44
2017-12-06,603879,15.47,16.05,16.22,15.26,28778.0,45380668.0,7.99,1.06,16.51,17.16,20.96
2017-12-05,603879,16.2,15.44,16.46,15.38,37207.0,58737988.0,10.34,1.47,16.75,17.51,21.47
2017-12-04,603879,17.48,16.36,17.59,16.28,30077.0,50678536.0,8.35,1.21,17.19,18.13,22.04
2017-12-01,603879,17.3,17.48,17.59,17.15,20580.0,35873700.0,5.72,0.76,17.42,18.9,22.57
2017-11-30,603879,17.1,17.2,17.59,17.1,19796.0,34360964.0,5.5,0.52,17.58,19.68,23.05
2017-11-29,603879,17.55,17.27,17.71,17.07,28195.0,48855880.0,7.83,0.61,17.82,20.48,23.55
2017-11-28,603879,17.53,17.65,17.76,17.3,28064.0,49224712.0,7.8,0.51,18.26,21.34,24.04
2017-11-27,603879,18.23,17.52,18.25,17.22,27583.0,48771904.0,7.66,0.45,19.06,22.23,24.51
2017-11-24,603879,18.19,18.24,18.66,17.9,31634.0,57933728.0,8.79,0.51,20.37,23.13,24.91
2017-11-23,603879,19.0,18.41,19.08,17.8,73446.0,135313376.0,20.4,1.26,21.78,23.94,25.28
2017-11-22,603879,19.69,19.49,20.5,19.49,70142.0,138670992.0,19.48,1.44,23.14,24.75,25.61
2017-11-21,603879,21.66,21.66,22.68,21.66,72454.0,157582240.0,20.13,1.79,24.42,25.44,25.86
2017-11-20,603879,25.28,24.07,25.43,22.75,61564.0,146375952.0,17.1,1.88,25.39,25.96,25.98
2017-11-17,603879,25.16,25.28,25.58,23.21,35112.0,88106184.0,9.75,1.15,25.88,26.23,25.99
2017-11-16,603879,25.45,25.19,25.93,23.3,53202.0,130811016.0,14.78,2.15,26.1,26.41,25.91
2017-11-15,603879,26.53,25.89,26.67,25.85,21659.0,56876640.0,6.02,0.88,26.36,26.62,25.78
2017-11-14,603879,26.4,26.53,26.98,26.4,30511.0,81311616.0,8.48,1.22,26.45,26.74,25.59
2017-11-13,603879,26.41,26.52,26.95,25.9,23139.0,61149520.0,6.43,0.78,26.52,26.79,25.37
2017-11-10,603879,26.52,26.35,26.64,25.8,24225.0,63389116.0,6.73,0.78,26.58,26.7,25.12
2017-11-09,603879,26.4,26.51,26.69,26.36,24224.0,64178460.0,6.73,0.81,26.73,26.62,24.9
2017-11-08,603879,26.8,26.36,26.88,26.2,20823.0,55349200.0,5.78,0.66,26.87,26.47,24.66
2017-11-07,603879,26.81,26.87,27.15,26.51,32267.0,86482640.0,8.96,0.98,27.03,26.29,24.43
2017-11-06,603879,27.18,26.81,27.22,25.75,47617.0,128191920.0,13.23,1.58,27.05,26.01,24.18
2017-11-03,603879,27.29,27.12,27.68,27.0,30500.0,83248416.0,8.47,0.97,26.82,25.74,23.96
2017-11-02,603879,27.1,27.21,27.3,26.9,17911.0,48601256.0,4.98,0.54,26.51,25.41,23.74
2017-11-01,603879,26.9,27.16,27.47,26.65,29561.0,79997056.0,8.21,0.89,26.07,24.94,23.51
2017-10-31,603879,25.67,26.94,27.15,25.21,39228.0,102596864.0,10.9,1.24,25.55,24.44,23.25
2017-10-30,603879,25.62,25.65,25.88,24.96,33396.0,85249056.0,9.28,1.0,24.97,23.95,22.98
2017-10-27,603879,24.83,25.6,25.8,24.45,37858.0,95206864.0,10.52,1.1,24.66,23.55,22.8
2017-10-26,603879,24.65,25.0,25.07,24.4,26788.0,66106772.0,7.44,0.75,24.3,23.17,22.63
