datetime,code,open,close,high,low,vol,amount,tor,vr,ma5,ma10,ma20
2017-12-28,603160,95.92,95.12,96.95,95.0,13962.0,134035936.0,0.61,0.67,97.23,99.68,102.71
2017-12-27,603160,98.0,95.79,98.0,95.7,14183.0,137378640.0,0.62,0.67,98.49,100.85,103.54
2017-12-26,603160,96.02,98.03,98.38,95.59,18211.0,176701312.0,0.79,0.9,99.63,102.05,104.44
2017-12-25,603160,100.37,96.49,101.11,95.38,30404.0,296747232.0,1.32,1.49,100.32,102.87,105.5
2017-12-22,603160,101.4,100.74,102.33,100.35,17639.0,178315440.0,0.77,0.76,101.2,103.85,106.49
2017-12-21,603160,101.5,101.41,103.22,100.07,23911.0,243007344.0,1.04,1.03,102.12,104.3,107.93
2017-12-20,603160,101.6,101.47,103.16,100.52,15670.0,159573440.0,0.68,0.61,103.21,104.36,108.97
2017-12-19,603160,101.38,101.5,102.1,100.3,13677.0,138559200.0,0.6,0.45,104.47,104.76,109.46
2017-12-18,603160,104.65,100.87,104.7,100.07,31314.0,317998624.0,1.36,1.05,105.41,104.85,109.59
2017-12-15,603160,106.5,105.34,109.33,105.2,31936.0,343036352.0,1.39,1.0,106.5,105.23,109.85
2017-12-14,603160,106.4,106.88,107.5,105.01,23620.0,251012000.0,1.03,0.73,106.49,105.75,109.82
2017-12-13,603160,105.0,107.75,108.35,104.38,27244.0,290292352.0,1.19,0.79,105.52,106.22,109.8
2017-12-12,603160,107.65,106.23,109.98,106.2,37674.0,407314752.0,1.64,1.13,105.06,106.83,109.77
2017-12-11,603160,104.53,106.31,106.47,104.0,27989.0,295261312.0,1.22,0.73,104.29,108.12,110.17
2017-12-08,603160,100.6,105.28,107.98,100.16,43727.0,460728480.0,1.9,1.14,103.96,109.14,110.67
2017-12-07,603160,104.01,102.02,104.8,101.88,24694.0,254921744.0,1.08,0.61,105.0,111.55,110.93
2017-12-06,603160,102.8,105.45,105.7,100.85,38701.0,399687584.0,1.69,0.91,106.93,113.58,111.58
2017-12-05,603160,105.15,102.4,106.5,100.8,32111.0,331939040.0,1.4,0.64,108.61,114.16,111.95
2017-12-04,603160,111.0,104.67,111.0,103.78,53032.0,561117632.0,2.31,1.07,111.95,114.33,112.58
2017-12-01,603160,110.66,110.46,113.96,109.5,43841.0,491478688.0,1.91,0.68,114.31,114.46,113.1
2017-11-30,603160,111.05,111.66,116.58,110.51,36380.0,412355616.0,1.58,0.6,118.1,113.9,113.13
2017-11-29,603160,117.0,113.86,117.48,112.01,47068.0,539351168.0,2.05,0.79,120.24,113.39,113.21
2017-11-28,603160,111.61,119.11,119.74,109.5,69453.0,791517568.0,3.02,1.4,119.71,112.71,113.18
2017-11-27,603160,123.7,116.46,125.68,116.46,51336.0,620501184.0,2.24,1.19,116.71,112.22,112.54
2017-11-24,603160,127.36,129.4,133.88,125.9,118922.0,1537297024.0,5.18,4.79,114.62,112.2,112.06
2017-11-23,603160,122.36,122.36,122.36,122.36,15282.0,186999120.0,0.67,0.59,109.71,110.31,110.95
2017-11-22,603160,104.9,111.24,114.0,104.2,42232.0,467720544.0,1.84,1.7,106.53,109.57,110.09
2017-11-21,603160,105.5,104.1,108.4,104.02,19599.0,206931968.0,0.85,0.67,105.7,109.73,109.73
2017-11-20,603160,104.85,105.99,106.8,102.0,19891.0,207466640.0,0.87,0.57,107.72,110.83,109.47
2017-11-17,603160,106.08,104.85,107.2,102.38,27081.0,283507712.0,1.18,0.73,109.78,111.74,109.11
2017-11-16,603160,106.25,106.49,108.16,105.35,21139.0,224986960.0,0.92,0.58,110.92,112.35,108.76
2017-11-15,603160,112.65,107.09,112.65,106.1,36807.0,401244800.0,1.6,1.11,112.61,113.03,108.02
2017-11-14,603160,115.97,114.19,119.5,112.58,42024.0,489896000.0,1.83,1.29,113.77,113.66,107.28
2017-11-13,603160,109.8,116.27,116.8,109.31,47020.0,531422848.0,2.05,1.55,113.94,112.86,106.3
2017-11-10,603160,114.79,110.57,116.98,110.5,37509.0,424596672.0,1.63,1.33,113.7,111.93,105.05
2017-11-09,603160,112.94,114.93,115.49,111.45,19997.0,226245152.0,0.87,0.67,113.78,111.58,104.26
2017-11-08,603160,115.1,112.87,115.1,111.8,19126.0,216883808.0,0.83,0.54,113.45,110.6,103.25
2017-11-07,603160,114.5,115.07,117.5,111.8,39177.0,449103488.0,1.71,1.21,113.55,109.73,102.3
2017-11-06,603160,111.2,115.07,116.3,109.03,36221.0,410576896.0,1.58,1.19,111.78,108.11,101.28
2017-11-03,603160,112.44,110.98,114.95,109.69,26597.0,298432512.0,1.16,0.81,110.15,106.48,100.36
2017-11-02,603160,114.0,113.25,116.35,112.51,27612.0,315476608.0,1.2,0.82,109.37,105.16,99.59
2017-11-01,603160,105.84,113.39,116.81,105.8,47360.0,537768704.0,2.06,1.36,107.76,103.02,98.61
2017-10-31,603160,106.44,106.19,108.52,104.5,23800.0,254027600.0,1.04,0.68,105.91,100.9,97.64
2017-10-30,603160,107.19,106.96,108.58,103.36,27369.0,290200992.0,1.19,0.76,104.44,99.73,96.97
2017-10-27,603160,105.59,107.07,108.66,104.0,38272.0,410916960.0,1.67,1.1,102.82,98.18,96.35
2017-10-26,603160,103.9,105.17,107.77,102.8,31798.0,334474752.0,1.38,1.05,100.95,96.94,96.12
2017-10-25,603160,96.0,104.14,107.9,95.98,53188.0,549396544.0,2.32,2.38,98.28,95.9,95.99
2017-10-24,603160,98.67,98.84,100.85,98.01,23194.0,230693040.0,1.01,1.05,95.89,94.87,95.88
2017-10-23,603160,97.12,98.86,100.85,96.05,33480.0,331915520.0,1.46,1.7,95.03,94.46,95.7
2017-10-20,603160,92.38,97.73,99.54,91.58,33051.0,318602624.0,1.44,2.13,93.54,94.24,95.53
2017-10-19,603160,93.48,91.82,93.49,90.8,8507.0,78225824.0,0.37,0.49,92.93,94.01,95.27
2017-10-18,603160,93.5,92.2,93.93,91.88,13595.0,126045080.0,0.59,0.78,93.52,94.2,95.37
2017-10-17,603160,92.02,94.55,95.78,92.02,21478.0,202908240.0,0.94,1.25,93.84,94.38,95.43
2017-10-16,603160,94.49,91.42,94.49,90.7,21610.0,199024416.0,4.8,1.24,93.89,94.21,95.53
2017-10-13,603160,94.85,94.65,94.97,93.4,12527.0,118269880.0,2.78,0.72,94.94,94.52,95.81
2017-10-12,603160,92.82,94.78,95.5,92.0,18211.0,171534512.0,4.05,1.08,95.09,95.31,95.9
2017-10-11,603160,94.5,93.82,94.55,93.51,13151.0,123459216.0,2.92,0.78,94.88,96.08,96.06
2017-10-10,603160,96.3,94.8,96.3,94.2,20543.0,194533056.0,4.57,1.18,94.92,96.89,96.3
2017-10-09,603160,95.3,96.63,96.8,95.3,23002.0,220836352.0,5.11,1.18,94.53,96.94,96.49
2017-09-29,603160,93.65,95.44,95.46,93.5,12203.0,115874592.0,2.71,0.53,94.1,96.81,96.72
2017-09-28,603160,93.33,93.71,95.78,93.33,15665.0,148526000.0,3.48,0.54,95.53,96.53,96.59
2017-09-27,603160,92.89,94.0,94.5,92.61,13239.0,124055904.0,2.94,0.35,97.28,96.53,96.45
2017-09-26,603160,94.0,92.86,95.15,92.26,22998.0,213903968.0,5.11,0.65,98.86,96.48,96.26
2017-09-25,603160,101.6,94.47,101.6,94.0,33003.0,323314432.0,7.33,1.03,99.36,96.85,96.15
2017-09-22,603160,101.56,102.59,102.85,100.0,29721.0,301931712.0,6.6,1.04,99.53,97.11,96.0
2017-09-21,603160,101.93,102.5,104.2,100.01,45491.0,464673728.0,10.11,2.03,97.54,96.49,95.56
2017-09-20,603160,95.3,101.89,104.5,94.61,55397.0,559002432.0,12.31,3.38,95.78,96.04,95.07
2017-09-19,603160,95.26,95.35,96.35,94.3,13659.0,129956336.0,3.04,0.75,94.1,95.72,94.61
2017-09-18,603160,92.2,95.33,95.66,91.81,16412.0,154415376.0,3.65,0.93,94.34,96.04,94.52
2017-09-15,603160,93.7,92.61,94.36,91.7,12508.0,115580960.0,2.78,0.67,94.69,96.62,94.46
2017-09-14,603160,93.49,93.74,95.72,93.18,13929.0,131564056.0,3.1,0.64,95.44,96.64,94.45
2017-09-13,603160,96.53,93.49,97.47,92.25,25491.0,240210368.0,5.66,1.17,96.3,96.37,94.49
2017-09-12,603160,96.85,96.53,99.63,96.33,22228.0,218593280.0,4.94,1.0,97.33,96.04,94.48
2017-09-11,603160,96.0,97.1,97.14,95.53,14023.0,135293600.0,3.12,0.47,97.74,95.46,94.22
2017-09-08,603160,98.18,96.32,98.49,95.72,17376.0,167552832.0,3.86,0.58,98.54,94.89,93.92
2017-09-07,603160,99.1,98.04,101.95,97.97,29084.0,290660832.0,6.46,1.1,97.84,94.63,93.54
2017-09-06,603160,98.3,98.66,98.96,96.12,26363.0,256914016.0,5.86,1.14,96.45,94.1,93.1
