datetime,code,open,close,high,low,vol,amount,tor,vr,ma5,ma10,ma20
2017-12-28,603269,23.32,24.07,24.29,23.03,18468.0,43565936.0,8.08,2.13,23.21,22.99,22.91
2017-12-27,603269,23.28,23.4,23.47,23.06,9980.0,23309808.0,4.36,1.22,22.95,22.88,22.92
2017-12-26,603269,22.46,23.18,23.32,22.46,13151.0,30340288.0,5.75,1.73,22.84,22.8,22.95
2017-12-25,603269,22.59,22.54,22.94,22.36,5651.0,12753757.0,2.47,0.75,22.85,22.69,23.0
2017-12-22,603269,22.88,22.87,23.23,22.7,8814.0,20260330.0,3.85,1.23,22.83,22.73,23.06
2017-12-21,603269,22.61,22.77,22.88,22.31,5781.0,13109846.0,2.53,0.78,22.78,22.72,23.12
2017-12-20,603269,23.3,22.82,23.32,22.46,7395.0,17048956.0,3.23,1.01,22.81,22.68,23.2
2017-12-19,603269,22.44,23.26,23.3,22.44,10452.0,24042962.0,4.57,1.62,22.76,22.65,23.3
2017-12-18,603269,22.7,22.42,22.76,22.37,5077.0,11433801.0,2.22,0.78,22.54,22.56,23.38
2017-12-15,603269,22.91,22.62,23.08,22.43,7195.0,16341719.0,3.15,1.06,22.63,22.67,23.54
2017-12-14,603269,22.65,22.92,22.99,22.4,6905.0,15702247.0,3.02,0.98,22.66,22.83,23.67
2017-12-13,603269,22.14,22.58,22.65,22.08,6840.0,15324707.0,2.99,0.82,22.55,22.95,23.88
2017-12-12,603269,22.87,22.14,22.96,22.05,6161.0,13865912.0,2.69,0.54,22.55,23.11,24.18
2017-12-11,603269,22.74,22.87,23.01,22.51,5602.0,12787001.0,2.45,0.43,22.59,23.3,24.52
2017-12-08,603269,22.3,22.78,22.96,22.2,8371.0,19003700.0,3.66,0.66,22.71,23.4,24.78
2017-12-07,603269,22.32,22.4,22.6,22.26,8248.0,18517408.0,3.61,0.66,23.01,23.52,25.04
2017-12-06,603269,22.27,22.55,22.78,21.91,13355.0,29830268.0,5.84,1.09,23.35,23.71,25.32
2017-12-05,603269,23.25,22.36,23.55,21.31,21453.0,47760688.0,9.38,2.25,23.66,23.95,25.6
2017-12-04,603269,24.02,23.47,24.42,23.2,13811.0,32760898.0,6.04,1.66,24.01,24.2,25.85
2017-12-01,603269,24.06,24.27,24.35,23.9,6870.0,16646952.0,3.0,0.73,24.08,24.4,26.04
2017-11-30,603269,24.03,24.09,24.5,24.03,6927.0,16779452.0,3.03,0.64,24.04,24.52,26.16
2017-11-29,603269,24.23,24.12,24.53,23.76,12067.0,28954610.0,5.28,1.11,24.08,24.81,26.32
2017-11-28,603269,23.86,24.09,24.16,23.81,8031.0,19282874.0,3.51,0.64,24.25,25.26,26.46
2017-11-27,603269,23.99,23.84,24.1,23.51,7650.0,18228094.0,3.34,0.51,24.38,25.74,26.59
2017-11-24,603269,23.95,24.05,24.35,23.85,12342.0,29656228.0,5.4,0.68,24.73,26.16,26.71
2017-11-23,603269,24.94,24.28,25.15,24.25,13967.0,34701808.0,6.11,0.69,24.99,26.55,26.9
2017-11-22,603269,24.72,24.97,25.18,24.5,12605.0,31346500.0,5.51,0.51,25.55,26.93,27.09
2017-11-21,603269,25.22,24.77,25.8,24.1,16264.0,40681280.0,7.11,0.54,26.27,27.24,27.22
2017-11-20,603269,24.92,25.56,25.7,24.01,19468.0,48544000.0,8.51,0.64,27.1,27.51,27.32
2017-11-17,603269,27.05,25.38,27.14,25.05,28709.0,75765056.0,12.55,1.0,27.59,27.68,27.39
2017-11-16,603269,28.17,27.06,28.6,27.01,24228.0,67622896.0,10.59,0.85,28.1,27.8,27.45
2017-11-15,603269,28.64,28.6,29.35,28.3,33897.0,97635384.0,14.82,1.17,28.31,27.83,27.41
2017-11-14,603269,28.04,28.92,28.97,27.75,44646.0,126997448.0,19.52,1.93,28.2,27.66,27.32
2017-11-13,603269,27.98,27.97,28.19,27.64,19561.0,54620820.0,8.55,0.9,27.91,27.44,27.25
2017-11-10,603269,28.04,27.96,28.38,27.81,21613.0,60737096.0,9.45,1.08,27.77,27.27,27.21
2017-11-09,603269,27.89,28.08,28.18,27.7,22520.0,63013528.0,9.85,1.16,27.51,27.25,27.23
2017-11-08,603269,27.4,28.09,28.25,27.18,36060.0,100330504.0,15.77,2.47,27.35,27.25,27.2
2017-11-07,603269,27.25,27.46,27.59,27.05,15828.0,43259016.0,6.92,1.12,27.11,27.2,27.17
2017-11-06,603269,26.8,27.24,27.26,26.77,13181.0,35629480.0,5.76,0.81,26.98,27.14,27.18
2017-11-03,603269,27.05,26.67,27.25,26.6,12465.0,33494668.0,5.45,0.7,26.77,27.11,27.17
2017-11-02,603269,26.91,27.28,27.44,26.26,19505.0,52690184.0,8.53,1.07,27.0,27.09,27.17
2017-11-01,603269,26.77,26.92,26.96,26.51,12035.0,32289932.0,5.26,0.6,27.14,26.99,27.12
2017-10-31,603269,26.23,26.77,26.82,26.0,13518.0,35661052.0,5.91,0.71,27.29,26.98,27.1
2017-10-30,603269,27.44,26.23,27.44,25.8,23835.0,63271484.0,10.42,1.42,27.29,27.05,27.09
2017-10-27,603269,27.86,27.78,28.18,27.37,20070.0,55826312.0,8.78,1.33,27.45,27.16,27.14
2017-10-26,603269,27.6,28.01,28.19,27.35,22025.0,61380224.0,9.63,1.56,27.18,27.21,27.13
2017-10-25,603269,26.79,27.68,27.88,26.43,21143.0,57897520.0,9.24,1.62,26.83,27.16,27.12
2017-10-24,603269,26.98,26.77,26.98,26.38,8449.0,22585154.0,3.69,0.6,26.67,27.13,27.12
2017-10-23,603269,26.38,27.02,27.15,26.31,12085.0,32409208.0,5.28,0.75,26.81,27.24,27.18
2017-10-20,603269,26.01,26.42,26.49,26.0,11718.0,30850388.0,5.12,0.59,26.86,27.23,27.22
2017-10-19,603269,26.85,26.27,26.85,26.03,17316.0,45540952.0,7.57,0.88,27.24,27.25,27.44
2017-10-18,603269,27.48,26.88,27.77,26.78,15653.0,42775788.0,6.84,0.77,27.48,27.25,27.83
2017-10-17,603269,27.3,27.44,27.74,26.85,13807.0,37826268.0,6.04,0.64,27.59,27.23,28.27
2017-10-16,603269,28.28,27.3,28.34,27.0,22010.0,60793920.0,9.62,1.11,27.66,27.13,28.54
2017-10-13,603269,27.58,28.29,28.3,27.35,31175.0,87431968.0,13.63,1.95,27.61,27.13,28.81
2017-10-12,603269,27.38,27.51,27.93,27.1,15694.0,43196784.0,6.86,0.96,27.26,27.06,28.94
2017-10-11,603269,27.88,27.39,28.24,27.38,18409.0,51047488.0,8.05,1.18,27.02,27.08,29.11
2017-10-10,603269,27.07,27.83,27.92,27.07,19769.0,54436816.0,8.64,1.13,26.87,27.12,29.29
2017-10-09,603269,26.95,27.01,27.33,26.74,14456.0,39050080.0,6.32,0.75,26.59,27.13,29.47
2017-09-29,603269,26.31,26.56,26.7,26.31,11629.0,30812068.0,5.08,0.52,26.65,27.21,29.65
2017-09-28,603269,26.55,26.3,26.85,26.27,17072.0,45296308.0,7.46,0.64,26.86,27.63,29.86
2017-09-27,603269,26.5,26.64,26.75,26.26,14816.0,39197480.0,6.48,0.47,27.15,28.42,30.03
2017-09-26,603269,27.32,26.42,27.46,26.05,29875.0,79214792.0,13.06,0.89,27.37,29.31,30.2
2017-09-25,603269,27.5,27.31,28.09,27.15,23292.0,64485380.0,10.18,0.53,27.68,29.95,30.38
2017-09-22,603269,27.6,27.63,27.77,26.91,27197.0,74587664.0,11.89,0.51,27.77,30.49,30.5
2017-09-21,603269,27.76,27.74,28.3,27.52,37331.0,104287904.0,16.32,0.49,28.4,30.82,30.54
2017-09-20,603269,27.69,27.76,27.89,27.3,38934.0,107355016.0,17.02,0.45,29.69,31.13,30.57
2017-09-19,603269,27.75,27.97,28.35,27.44,40879.0,114458760.0,17.87,0.48,31.24,31.45,30.53
2017-09-18,603269,29.01,27.73,29.36,27.7,76221.0,214349616.0,33.33,0.9,32.23,31.8,30.46
2017-09-15,603269,30.78,30.78,31.88,30.78,74696.0,231598704.0,32.66,0.98,33.22,32.09,30.37
2017-09-14,603269,34.78,34.2,37.2,31.99,153036.0,528650400.0,66.92,2.93,33.24,32.09,30.06
2017-09-13,603269,32.79,35.54,36.1,32.33,84310.0,285928704.0,36.86,1.91,32.57,31.63,29.55
2017-09-12,603269,32.6,32.88,33.39,31.6,41218.0,132834912.0,18.02,0.9,31.66,31.08,28.96
2017-09-11,603269,31.1,32.69,32.9,30.88,70158.0,225307120.0,30.68,1.86,31.38,30.8,28.49
2017-09-08,603269,30.75,30.88,31.29,30.33,31428.0,97215024.0,13.74,0.74,30.97,30.51,28.0
2017-09-07,603269,30.9,30.85,31.65,30.32,34222.0,105588840.0,14.96,0.71,30.94,30.25,27.6
2017-09-06,603269,31.45,31.02,31.87,30.12,43724.0,136490960.0,19.12,0.9,30.7,30.01,27.2
2017-09-05,603269,30.26,31.46,31.72,29.72,50090.0,154549296.0,21.9,0.93,30.5,29.6,26.85
2017-09-04,603269,30.93,30.63,30.99,30.11,28889.0,87963136.0,12.63,0.47,30.22,29.11,26.48
2017-09-01,603269,29.68,30.73,31.0,29.39,55744.0,168695760.0,24.37,0.89,30.06,28.64,26.16
2017-08-31,603269,30.3,29.66,30.3,29.1,62221.0,184174576.0,27.21,0.96,29.57,28.04,25.82
2017-08-30,603269,30.05,30.03,30.22,29.4,45461.0,135600560.0,19.88,0.7,29.31,27.46,25.58
2017-08-29,603269,29.81,30.07,31.0,29.51,77448.0,235189616.0,33.86,1.3,28.7,26.84,25.32
2017-08-28,603269,28.45,29.81,30.5,28.0,66074.0,194541296.0,28.89,1.19,28.0,26.17,25.11
2017-08-25,603269,28.1,28.28,28.8,27.78,61475.0,174233568.0,26.88,1.24,27.23,25.5,24.99
2017-08-24,603269,26.74,28.36,29.0,26.7,72330.0,199700176.0,31.63,1.92,26.51,24.94,24.88
2017-08-23,603269,26.55,26.97,27.25,26.3,46813.0,125753448.0,20.47,1.49,25.61,24.4,24.78
2017-08-22,603269,25.84,26.56,26.95,25.6,51392.0,135674208.0,22.47,2.14,24.99,24.1,24.71
2017-08-21,603269,24.46,25.97,26.0,24.19,45699.0,115198480.0,19.98,2.71,24.35,23.84,24.69
2017-08-18,603269,23.69,24.69,24.86,23.51,31568.0,76822880.0,13.8,2.36,23.76,23.67,24.69
2017-08-17,603269,23.9,23.88,23.97,23.65,13007.0,31025314.0,5.69,0.94,23.37,23.61,24.76
2017-08-16,603269,23.45,23.84,23.95,23.25,15266.0,36141400.0,6.68,1.2,23.19,23.7,24.88
2017-08-15,603269,23.44,23.38,23.55,23.1,14372.0,33584604.0,6.28,1.15,23.21,23.79,25.02
2017-08-14,603269,22.75,23.02,23.1,22.7,10247.0,23493804.0,4.48,0.81,23.33,24.05,25.2
2017-08-11,603269,22.77,22.72,23.2,22.54,13974.0,31825982.0,6.11,1.02,23.57,24.48,25.42
2017-08-10,603269,23.93,22.99,23.99,21.54,15622.0,36324448.0,6.83,1.03,23.85,24.83,25.69
