datetime,code,open,close,high,low,vol,amount,tor,vr,ma5,ma10,ma20
2017-12-27,603626,27.9,26.87,28.38,26.6,36855.0,101897280.0,5.0,0.86,28.17,29.5,30.28
2017-12-26,603626,27.5,27.73,28.09,27.21,42916.0,119475544.0,5.82,1.16,28.78,29.92,30.6
2017-12-25,603626,29.19,27.52,29.2,26.01,98787.0,263735744.0,13.4,4.61,29.36,30.28,30.92
2017-12-22,603626,29.8,28.9,29.8,28.8,30478.0,89018928.0,4.13,1.28,29.98,30.77,31.2
2017-12-21,603626,29.8,29.81,30.08,29.33,23366.0,69634432.0,3.17,0.94,30.55,31.13,31.5
2017-12-20,603626,30.56,29.94,30.8,29.77,19107.0,57541220.0,2.59,0.65,30.83,31.26,31.6
2017-12-19,603626,30.6,30.64,30.84,30.44,13606.0,41697396.0,1.85,0.39,31.06,31.26,31.82
2017-12-18,603626,31.06,30.6,31.21,30.08,20504.0,62935548.0,2.78,0.56,31.21,31.19,32.19
2017-12-15,603626,31.36,31.74,32.48,30.47,42506.0,133432384.0,5.76,1.12,31.56,31.11,32.64
2017-12-14,603626,30.95,31.24,31.48,30.68,28222.0,88125056.0,3.83,0.65,31.71,31.04,33.03
2017-12-13,603626,31.08,31.06,31.36,30.41,41685.0,128207056.0,5.65,0.95,31.68,31.06,33.56
2017-12-12,603626,32.81,31.39,32.93,31.08,43098.0,137168768.0,5.85,0.97,31.47,31.28,34.08
2017-12-11,603626,32.6,32.38,32.76,32.02,28325.0,91556080.0,3.84,0.55,31.18,31.55,34.69
2017-12-08,603626,30.97,32.46,32.92,30.51,48536.0,155825008.0,6.58,0.94,30.65,31.64,35.49
2017-12-07,603626,29.88,31.12,31.95,29.8,54916.0,170411568.0,7.45,1.07,30.37,31.88,36.34
2017-12-06,603626,29.6,30.01,30.37,29.0,43656.0,130242840.0,5.92,0.87,30.43,31.94,37.19
2017-12-05,603626,30.28,29.92,30.87,29.49,46249.0,139461840.0,6.27,0.94,31.08,32.37,37.94
2017-12-04,603626,31.3,29.73,31.4,28.96,63753.0,190331344.0,8.65,1.3,31.92,33.19,38.72
2017-12-01,603626,31.9,31.09,31.99,30.78,48417.0,150715168.0,6.57,0.82,32.63,34.19,39.41
2017-11-30,603626,33.21,31.41,33.69,31.0,53607.0,171718576.0,7.27,0.85,33.39,35.01,40.02
2017-11-29,603626,34.03,33.26,34.08,32.65,38340.0,127368528.0,5.2,0.55,33.45,36.06,40.54
2017-11-28,603626,33.68,34.09,34.89,33.25,43009.0,146052640.0,5.83,0.64,33.66,36.87,41.03
2017-11-27,603626,34.89,33.31,35.17,32.81,61632.0,208309648.0,8.36,1.05,34.46,37.83,41.46
2017-11-24,603626,32.13,34.89,34.89,32.13,99688.0,341974208.0,13.52,1.93,35.74,39.34,41.99
2017-11-23,603626,33.5,31.72,33.79,31.0,74368.0,240999808.0,10.09,1.57,36.64,40.8,42.39
2017-11-22,603626,38.14,34.29,38.52,34.29,68059.0,242073104.0,9.23,1.4,38.66,42.43,42.99
2017-11-21,603626,39.49,38.1,39.9,37.5,29870.0,115180592.0,4.05,0.45,40.09,43.5,43.45
2017-11-20,603626,38.0,39.69,40.0,38.0,20778.0,81421128.0,2.82,0.29,41.19,44.24,43.67
2017-11-17,603626,41.77,39.38,41.77,37.81,64618.0,255171440.0,8.76,0.95,42.94,44.64,43.87
2017-11-16,603626,40.85,41.85,41.96,39.8,52840.0,215970032.0,7.17,0.81,44.97,45.03,44.06
2017-11-15,603626,42.62,41.42,43.0,40.7,74227.0,309734240.0,10.07,1.3,46.21,45.03,44.16
2017-11-14,603626,48.8,43.63,48.8,43.6,118491.0,537777856.0,16.07,2.76,46.92,45.19,44.32
2017-11-13,603626,50.21,48.42,50.99,48.3,43929.0,217008256.0,5.96,1.1,47.29,45.1,44.37
2017-11-10,603626,47.8,49.54,49.78,47.11,51583.0,250543024.0,7.0,1.32,46.35,44.64,44.08
2017-11-09,603626,45.38,48.02,48.2,44.9,39895.0,184404560.0,5.41,1.11,45.09,43.98,43.77
2017-11-08,603626,45.56,44.97,46.62,44.58,31799.0,144935728.0,4.31,0.87,43.85,43.55,43.38
2017-11-07,603626,43.25,45.5,45.56,43.0,47379.0,211829472.0,6.43,1.34,43.47,43.39,43.15
2017-11-06,603626,43.08,43.71,43.77,42.02,28274.0,121055160.0,3.83,0.66,42.91,43.1,42.92
2017-11-03,603626,41.56,43.27,44.99,41.56,48092.0,211022160.0,6.52,1.26,42.94,43.1,42.88
2017-11-02,603626,42.99,41.79,43.0,41.78,24752.0,104206920.0,3.36,0.65,42.87,43.09,42.87
2017-11-01,603626,42.1,43.06,43.66,41.65,33338.0,141745568.0,4.52,0.99,43.26,43.29,42.96
2017-10-31,603626,44.24,42.74,45.2,42.63,42925.0,187540992.0,5.82,1.52,43.31,43.44,42.95
2017-10-30,603626,45.11,43.83,46.98,43.6,66661.0,297541184.0,9.04,3.46,43.28,43.64,42.86
2017-10-27,603626,43.82,42.95,44.2,42.75,22860.0,99042424.0,3.1,1.13,43.25,43.52,42.7
2017-10-26,603626,43.05,43.72,44.58,42.8,25495.0,111630344.0,3.46,1.36,43.3,43.55,42.64
2017-10-25,603626,42.3,43.33,43.51,41.94,10734.0,45875716.0,1.46,0.48,43.33,43.2,42.59
2017-10-24,603626,43.69,42.57,43.9,42.18,15586.0,66780404.0,2.11,0.55,43.57,42.92,42.58
2017-10-23,603626,43.02,43.69,44.0,42.51,21555.0,93846728.0,2.92,0.73,44.0,42.73,42.56
2017-10-20,603626,43.48,43.21,43.5,41.51,27593.0,117076928.0,3.74,0.84,43.78,42.67,42.47
2017-10-19,603626,44.61,43.84,45.29,43.61,18388.0,81257008.0,2.49,0.55,43.79,42.66,42.43
2017-10-18,603626,44.61,44.54,45.8,44.17,28866.0,129567872.0,3.91,0.78,43.07,42.62,43.27
2017-10-17,603626,42.6,44.7,44.8,42.2,44044.0,193725600.0,5.97,1.2,42.26,42.46,44.08
2017-10-16,603626,43.38,42.61,43.8,41.98,28975.0,124372480.0,3.93,0.87,41.47,42.07,44.93
2017-10-13,603626,40.45,43.28,43.97,40.02,44839.0,188348176.0,6.08,1.68,41.56,41.88,45.86
2017-10-12,603626,40.21,40.23,40.87,40.0,21626.0,87030912.0,2.93,0.78,41.52,41.73,46.79
2017-10-11,603626,41.05,40.49,41.35,39.9,45941.0,186093712.0,6.23,1.78,42.18,41.98,47.98
2017-10-10,603626,43.05,40.75,43.18,40.28,42551.0,175850240.0,5.77,1.79,42.66,42.24,49.14
2017-10-09,603626,43.35,43.05,43.97,42.63,12203.0,52464252.0,1.66,0.39,42.67,42.39,50.25
2017-09-29,603626,43.04,43.09,44.0,42.8,11145.0,48255488.0,1.51,0.35,42.19,42.26,51.4
2017-09-28,603626,43.02,43.5,44.16,42.6,26885.0,117394880.0,3.65,0.93,41.94,42.21,52.43
2017-09-27,603626,40.85,42.93,43.76,40.74,36014.0,152813344.0,4.88,1.37,41.79,43.92,53.53
2017-09-26,603626,40.35,40.8,41.0,39.11,32624.0,130280256.0,4.42,1.33,41.81,45.7,54.7
2017-09-25,603626,41.85,40.64,42.25,39.3,50079.0,201911712.0,6.79,2.52,42.11,47.78,55.98
2017-09-22,603626,42.47,41.85,43.29,41.06,12942.0,54454160.0,1.76,0.57,42.33,49.85,57.27
2017-09-21,603626,42.9,42.74,43.59,42.52,13526.0,58247152.0,1.83,0.6,42.47,51.84,58.43
2017-09-20,603626,42.0,43.02,43.6,41.6,22212.0,94981728.0,3.01,0.96,46.05,53.97,59.58
2017-09-19,603626,41.7,42.28,43.56,41.36,23825.0,100881208.0,3.23,1.06,49.58,56.05,60.65
