datetime,code,open,close,high,low,vol,amount,tor,vr,ma5,ma10,ma20
2017-12-27,603816,58.61,58.54,59.0,57.9,18136.0,105793568.0,2.04,1.39,58.49,57.88,56.62
2017-12-26,603816,58.57,58.7,59.05,57.81,10723.0,62816800.0,1.2,0.73,58.34,57.7,56.49
2017-12-25,603816,58.3,58.27,58.99,57.65,11202.0,65326984.0,1.26,0.77,58.21,57.3,56.34
2017-12-22,603816,58.61,58.35,59.69,58.02,15156.0,89327560.0,1.7,1.09,57.96,57.09,56.17
2017-12-21,603816,57.79,58.6,59.36,57.73,14134.0,82674152.0,1.59,1.02,57.64,56.86,55.99
2017-12-20,603816,58.04,57.79,58.38,57.55,14174.0,82185848.0,1.59,1.01,57.28,56.57,55.91
2017-12-19,603816,56.99,58.05,58.49,56.58,18615.0,107454000.0,2.09,1.49,57.06,56.31,56.03
2017-12-18,603816,56.78,56.99,57.12,55.83,11056.0,62566832.0,1.24,0.84,56.39,56.0,56.15
2017-12-15,603816,57.0,56.75,57.22,55.59,11529.0,65355536.0,1.29,0.85,56.23,55.67,56.23
2017-12-14,603816,56.74,56.8,57.15,56.45,13594.0,77244160.0,1.53,0.99,56.09,55.48,56.27
2017-12-13,603816,54.75,56.7,56.78,54.51,15047.0,83933272.0,1.69,1.08,55.86,55.35,56.37
2017-12-12,603816,56.11,54.72,56.46,54.64,11289.0,62472620.0,1.27,0.75,55.56,55.28,56.47
2017-12-11,603816,56.05,56.19,56.52,55.48,14535.0,81608024.0,1.63,1.0,55.61,55.37,56.59
2017-12-08,603816,55.54,56.04,56.25,55.11,13054.0,72861224.0,1.47,0.89,55.12,55.24,56.71
2017-12-07,603816,55.29,55.63,55.88,54.6,14501.0,80349584.0,1.63,1.05,54.86,55.12,56.81
2017-12-06,603816,54.79,55.24,55.41,54.1,16187.0,88670592.0,1.82,1.25,54.84,55.26,56.92
2017-12-05,603816,53.7,54.95,55.35,53.54,16526.0,90403552.0,1.85,1.49,55.0,55.74,56.99
2017-12-04,603816,54.5,53.72,55.8,53.54,12473.0,67981880.0,1.4,1.05,55.14,56.29,56.88
2017-12-01,603816,55.54,54.78,56.88,54.55,13399.0,74677488.0,1.5,0.85,55.37,56.79,56.82
2017-11-30,603816,55.8,55.51,56.48,55.0,10410.0,58224596.0,1.17,0.58,55.38,57.07,56.7
2017-11-29,603816,55.69,56.06,56.6,55.25,11964.0,66916048.0,1.34,0.57,55.68,57.39,56.63
2017-11-28,603816,55.29,55.62,55.81,54.59,7365.0,40659684.0,0.83,0.28,56.48,57.65,56.56
